Time,Bid,Ask
2013.03.29 00:00:06.710,1.05812,1.05852
2013.03.29 00:00:12.137,1.05811,1.05852
2013.03.29 00:00:12.972,1.05812,1.05852
2013.03.29 00:00:34.818,1.05812,1.05852
2013.03.29 00:00:36.791,1.05812,1.05852
2013.03.29 00:00:37.570,1.05812,1.05852
2013.03.29 00:00:47.147,1.05812,1.05853
2013.03.29 00:00:47.407,1.05812,1.05854
2013.03.29 00:00:49.097,1.05814,1.05854
2013.03.29 00:00:52.867,1.05817,1.05859
2013.03.29 00:01:18.399,1.05821,1.05862
2013.03.29 00:01:18.457,1.0582,1.05862
2013.03.29 00:01:19.178,1.05819,1.05861
2013.03.29 00:01:19.598,1.05818,1.05856
2013.03.29 00:01:20.338,1.05818,1.05861
2013.03.29 00:01:20.669,1.05816,1.05855
2013.03.29 00:01:21.118,1.05814,1.0585
2013.03.29 00:01:21.659,1.05815,1.05856
2013.03.29 00:01:23.601,1.05819,1.05861
2013.03.29 00:01:45.061,1.05817,1.05858
2013.03.29 00:01:51.368,1.05817,1.05858
2013.03.29 00:01:56.848,1.05825,1.05861
2013.03.29 00:02:31.377,1.05825,1.05864
2013.03.29 00:02:38.408,1.05817,1.05854
2013.03.29 00:02:38.589,1.05817,1.05853
2013.03.29 00:02:38.897,1.05806,1.05846
2013.03.29 00:02:46.418,1.05804,1.05845
2013.03.29 00:02:51.938,1.05805,1.05845
2013.03.29 00:02:52.058,1.0581,1.05849
2013.03.29 00:02:53.161,1.05815,1.05849
2013.03.29 00:03:00.570,1.05813,1.05851
2013.03.29 00:03:34.478,1.05815,1.05854
2013.03.29 00:03:34.718,1.05815,1.05849
2013.03.29 00:03:38.168,1.05808,1.05848
2013.03.29 00:03:38.689,1.05808,1.05844
2013.03.29 00:03:45.688,1.05815,1.05848
2013.03.29 00:03:45.807,1.05815,1.0585
2013.03.29 00:03:45.868,1.05815,1.05853
2013.03.29 00:03:45.987,1.05815,1.05854
2013.03.29 00:03:46.297,1.05815,1.05854
2013.03.29 00:03:51.357,1.05821,1.05848
2013.03.29 00:03:51.923,1.05821,1.05848
2013.03.29 00:03:51.987,1.05821,1.05855
2013.03.29 00:04:00.368,1.05821,1.05848
2013.03.29 00:04:02.428,1.05817,1.05853
2013.03.29 00:04:02.547,1.05817,1.05854
2013.03.29 00:04:05.728,1.05816,1.05855
2013.03.29 00:04:05.908,1.0581,1.05849
2013.03.29 00:04:20.397,1.0581,1.05849
2013.03.29 00:04:20.818,1.0581,1.0585
2013.03.29 00:04:52.179,1.05812,1.05855
2013.03.29 00:05:03.888,1.05817,1.05855
