Time,Bid,Ask
2013.03.25 00:00:00.512,1.30185,1.30193
2013.03.25 00:00:00.872,1.30185,1.30192
2013.03.25 00:00:01.232,1.30187,1.30193
2013.03.25 00:00:01.533,1.3019,1.30195
2013.03.25 00:00:01.953,1.30186,1.30193
2013.03.25 00:00:02.375,1.30186,1.30193
2013.03.25 00:00:02.442,1.30185,1.3019
2013.03.25 00:00:02.683,1.30182,1.30189
2013.03.25 00:00:03.042,1.30177,1.30183
2013.03.25 00:00:03.102,1.30177,1.30183
2013.03.25 00:00:03.222,1.30175,1.30182
2013.03.25 00:00:04.319,1.30176,1.30183
2013.03.25 00:00:04.882,1.30177,1.30183
2013.03.25 00:00:05.192,1.30177,1.30183
2013.03.25 00:00:05.882,1.30178,1.30183
2013.03.25 00:00:05.943,1.3018,1.30184
2013.03.25 00:00:06.063,1.30181,1.30186
2013.03.25 00:00:06.123,1.30181,1.30188
2013.03.25 00:00:06.483,1.30184,1.30189
2013.03.25 00:00:06.722,1.30183,1.30189
2013.03.25 00:00:06.964,1.30182,1.30185
2013.03.25 00:00:07.325,1.30184,1.30186
2013.03.25 00:00:07.395,1.30186,1.3019
2013.03.25 00:00:07.514,1.30185,1.30189
2013.03.25 00:00:07.753,1.30181,1.30186
2013.03.25 00:00:07.873,1.30181,1.30184
2013.03.25 00:00:08.413,1.30182,1.30186
2013.03.25 00:00:08.533,1.30183,1.30189
2013.03.25 00:00:08.592,1.30183,1.30189
2013.03.25 00:00:09.132,1.30184,1.30189
2013.03.25 00:00:09.432,1.30187,1.3019
2013.03.25 00:00:09.793,1.30189,1.30194
2013.03.25 00:00:10.213,1.30188,1.30191
2013.03.25 00:00:10.453,1.30184,1.30189
2013.03.25 00:00:10.515,1.30183,1.30186
2013.03.25 00:00:10.574,1.3018,1.30185
2013.03.25 00:00:10.813,1.3018,1.30184
2013.03.25 00:00:11.174,1.30177,1.30181
2013.03.25 00:00:11.713,1.30175,1.30178
2013.03.25 00:00:11.904,1.30173,1.30175
2013.03.25 00:00:12.203,1.30175,1.3018
2013.03.25 00:00:12.563,1.30176,1.30182
2013.03.25 00:00:13.283,1.30178,1.30185
2013.03.25 00:00:13.936,1.3018,1.30187
2013.03.25 00:00:14.003,1.3018,1.30186
2013.03.25 00:00:14.126,1.3018,1.30187
2013.03.25 00:00:14.493,1.3018,1.30189
2013.03.25 00:00:14.552,1.30182,1.30189
2013.03.25 00:00:14.912,1.30179,1.30187
2013.03.25 00:00:15.532,1.3018,1.30189
2013.03.25 00:00:16.425,1.30184,1.3019
2013.03.25 00:00:16.972,1.30185,1.3019
2013.03.25 00:00:17.702,1.30185,1.30191
2013.03.25 00:00:18.122,1.30185,1.30191
2013.03.25 00:00:18.742,1.30186,1.30192
2013.03.25 00:00:19.173,1.30189,1.30192
2013.03.25 00:00:19.472,1.3019,1.30195
2013.03.25 00:00:21.363,1.30189,1.30194
2013.03.25 00:00:21.603,1.30185,1.30189
2013.03.25 00:00:21.903,1.3018,1.30184
2013.03.25 00:00:22.023,1.3018,1.30185
2013.03.25 00:00:22.335,1.30182,1.30187
2013.03.25 00:00:22.692,1.30184,1.30189
2013.03.25 00:00:23.713,1.30185,1.3019
2013.03.25 00:00:24.253,1.30187,1.30193
2013.03.25 00:00:24.632,1.30186,1.30193
2013.03.25 00:00:25.324,1.30189,1.30193
2013.03.25 00:00:25.503,1.3019,1.30194
2013.03.25 00:00:25.863,1.3019,1.30194
2013.03.25 00:00:26.223,1.30192,1.30196
2013.03.25 00:00:26.762,1.30192,1.30196
2013.03.25 00:00:27.122,1.30191,1.30198
2013.03.25 00:00:27.184,1.30192,1.30198
2013.03.25 00:00:27.543,1.30192,1.30198
2013.03.25 00:00:27.962,1.30192,1.30198
2013.03.25 00:00:28.542,1.30192,1.30198
2013.03.25 00:00:29.085,1.30193,1.302
2013.03.25 00:00:29.632,1.30193,1.302
2013.03.25 00:00:30.636,1.30193,1.302
2013.03.25 00:00:30.714,1.30194,1.302
2013.03.25 00:00:32.962,1.30194,1.30201
2013.03.25 00:00:33.912,1.30195,1.30201
2013.03.25 00:00:34.453,1.30195,1.30202
2013.03.25 00:00:34.992,1.30195,1.30202
2013.03.25 00:00:35.532,1.30195,1.30202
2013.03.25 00:00:35.833,1.30195,1.302
2013.03.25 00:00:36.377,1.30195,1.302
2013.03.25 00:00:36.956,1.30195,1.302
2013.03.25 00:00:37.543,1.30196,1.30201
2013.03.25 00:00:38.045,1.30197,1.30202
2013.03.25 00:00:38.227,1.30199,1.30204
2013.03.25 00:00:38.475,1.30203,1.30207
2013.03.25 00:00:38.903,1.30201,1.30206
2013.03.25 00:00:39.425,1.30201,1.30206
2013.03.25 00:00:39.784,1.30204,1.30207
2013.03.25 00:00:40.085,1.30205,1.3021
2013.03.25 00:00:40.504,1.30208,1.30213
2013.03.25 00:00:40.565,1.30208,1.30214
2013.03.25 00:00:41.164,1.30209,1.30213
2013.03.25 00:00:41.466,1.30207,1.3021
2013.03.25 00:00:41.598,1.30205,1.3021
2013.03.25 00:00:42.109,1.30205,1.30211
2013.03.25 00:00:42.354,1.30206,1.30212
2013.03.25 00:00:42.836,1.30207,1.30214
2013.03.25 00:00:43.607,1.30205,1.30211
2013.03.25 00:00:44.046,1.30204,1.3021
2013.03.25 00:00:44.175,1.30203,1.3021
2013.03.25 00:00:44.294,1.30204,1.3021
2013.03.25 00:00:45.294,1.30205,1.30211
2013.03.25 00:00:46.023,1.30203,1.30209
2013.03.25 00:00:46.324,1.30205,1.30211
2013.03.25 00:00:48.374,1.30203,1.30209
2013.03.25 00:00:48.914,1.30204,1.3021
2013.03.25 00:00:50.225,1.30204,1.3021
2013.03.25 00:00:50.764,1.30203,1.30207
2013.03.25 00:00:51.556,1.30203,1.30208
2013.03.25 00:00:52.046,1.302,1.30204
2013.03.25 00:00:52.235,1.30195,1.302
2013.03.25 00:00:52.774,1.30194,1.302
2013.03.25 00:00:54.847,1.30196,1.302
2013.03.25 00:00:54.916,1.30196,1.30201
2013.03.25 00:00:54.984,1.30197,1.30202
2013.03.25 00:00:55.106,1.302,1.30202
2013.03.25 00:00:56.192,1.30198,1.30203
2013.03.25 00:00:57.299,1.30199,1.30204
2013.03.25 00:00:57.604,1.30205,1.30209
2013.03.25 00:00:57.664,1.30207,1.3021
2013.03.25 00:00:57.724,1.30208,1.3021
2013.03.25 00:00:58.295,1.3021,1.30214
2013.03.25 00:00:58.621,1.3021,1.30214
2013.03.25 00:00:59.464,1.30207,1.30214
2013.03.25 00:01:00.245,1.30208,1.30214
2013.03.25 00:01:00.423,1.30207,1.30214
2013.03.25 00:01:00.604,1.30208,1.30215
2013.03.25 00:01:01.156,1.30208,1.30215
2013.03.25 00:01:01.663,1.30207,1.30215
2013.03.25 00:01:02.204,1.30207,1.30212
2013.03.25 00:01:02.744,1.30209,1.30211
2013.03.25 00:01:03.164,1.30206,1.30212
2013.03.25 00:01:04.124,1.30206,1.30211
2013.03.25 00:01:04.803,1.30207,1.30212
2013.03.25 00:01:05.364,1.30207,1.30212
2013.03.25 00:01:07.693,1.30207,1.30212
2013.03.25 00:01:07.996,1.30201,1.30206
2013.03.25 00:01:08.067,1.302,1.30206
2013.03.25 00:01:08.195,1.30199,1.30203
2013.03.25 00:01:08.314,1.30198,1.30203
2013.03.25 00:01:08.734,1.302,1.30204
2013.03.25 00:01:09.035,1.30202,1.30209
2013.03.25 00:01:09.093,1.30201,1.30208
2013.03.25 00:01:09.726,1.30206,1.30213
2013.03.25 00:01:10.884,1.30205,1.30212
2013.03.25 00:01:11.424,1.30205,1.30211
2013.03.25 00:01:11.604,1.30206,1.30213
2013.03.25 00:01:11.985,1.3021,1.30215
2013.03.25 00:01:12.165,1.30212,1.30215
2013.03.25 00:01:12.344,1.3021,1.30216
2013.03.25 00:01:12.465,1.30213,1.30217
2013.03.25 00:01:12.704,1.30213,1.30217
2013.03.25 00:01:12.767,1.30211,1.30216
2013.03.25 00:01:12.835,1.3021,1.30215
2013.03.25 00:01:13.074,1.30208,1.30214
2013.03.25 00:01:13.698,1.30208,1.30214
2013.03.25 00:01:14.795,1.30208,1.30212
2013.03.25 00:01:14.856,1.30209,1.30212
2013.03.25 00:01:15.404,1.30205,1.3021
2013.03.25 00:01:15.944,1.30206,1.3021
2013.03.25 00:01:16.305,1.30207,1.3021
2013.03.25 00:01:16.915,1.30202,1.30208
2013.03.25 00:01:17.166,1.302,1.30205
2013.03.25 00:01:17.234,1.30199,1.30204
2013.03.25 00:01:17.294,1.302,1.30204
2013.03.25 00:01:17.533,1.30196,1.30202
2013.03.25 00:01:17.594,1.30196,1.30203
2013.03.25 00:01:17.774,1.30196,1.30202
2013.03.25 00:01:18.420,1.30196,1.30202
2013.03.25 00:01:20.664,1.30196,1.30203
2013.03.25 00:01:20.785,1.302,1.30202
2013.03.25 00:01:21.504,1.30199,1.30204
2013.03.25 00:01:25.255,1.302,1.30205
2013.03.25 00:01:25.504,1.30198,1.30204
2013.03.25 00:01:26.133,1.30198,1.30204
2013.03.25 00:01:30.530,1.30204,1.30207
2013.03.25 00:01:30.595,1.30205,1.30209
2013.03.25 00:01:30.779,1.30205,1.3021
2013.03.25 00:01:31.084,1.30203,1.30207
2013.03.25 00:01:31.743,1.30203,1.3021
2013.03.25 00:01:31.803,1.30203,1.30209
2013.03.25 00:01:33.583,1.30203,1.30209
2013.03.25 00:01:34.164,1.30203,1.30208
2013.03.25 00:01:35.014,1.30203,1.3021
2013.03.25 00:01:35.195,1.30203,1.30208
2013.03.25 00:01:36.914,1.30203,1.30208
