Time,Bid,Ask
2013.03.17 21:00:12.378,1.29052,1.29087
2013.03.17 21:00:12.532,1.29051,1.29091
2013.03.17 21:00:12.990,1.2907,1.29074
2013.03.17 21:00:13.329,1.29058,1.29083
2013.03.17 21:00:13.390,1.2905,1.29082
2013.03.17 21:00:14.253,1.29051,1.29079
2013.03.17 21:00:14.598,1.29053,1.29079
2013.03.17 21:00:14.936,1.29057,1.29076
2013.03.17 21:00:16.169,1.29056,1.29073
2013.03.17 21:00:16.229,1.29053,1.29073
2013.03.17 21:00:16.998,1.29049,1.29073
2013.03.17 21:00:17.088,1.29046,1.29069
2013.03.17 21:00:17.641,1.29046,1.29066
2013.03.17 21:00:18.048,1.29043,1.29066
2013.03.17 21:00:18.480,1.29045,1.29065
2013.03.17 21:00:18.598,1.29043,1.29064
2013.03.17 21:00:18.805,1.29046,1.29064
2013.03.17 21:00:19.048,1.29043,1.29064
2013.03.17 21:00:19.652,1.29043,1.29065
2013.03.17 21:00:20.418,1.29043,1.29069
2013.03.17 21:00:20.558,1.29047,1.29069
2013.03.17 21:00:20.910,1.29049,1.29069
2013.03.17 21:00:21.028,1.29046,1.29069
2013.03.17 21:00:21.112,1.29046,1.29072
2013.03.17 21:00:21.238,1.2905,1.29072
2013.03.17 21:00:21.658,1.29054,1.29072
2013.03.17 21:00:22.312,1.29054,1.29073
2013.03.17 21:00:22.508,1.29051,1.29073
2013.03.17 21:00:22.678,1.29051,1.29071
2013.03.17 21:00:22.798,1.29046,1.29071
2013.03.17 21:00:22.858,1.29046,1.29066
2013.03.17 21:00:23.008,1.29041,1.29066
2013.03.17 21:00:23.358,1.29032,1.29076
2013.03.17 21:00:23.478,1.2904,1.2907
2013.03.17 21:00:23.628,1.2904,1.29072
2013.03.17 21:00:24.108,1.2904,1.29074
2013.03.17 21:00:24.632,1.29042,1.29075
2013.03.17 21:00:24.789,1.29051,1.29076
2013.03.17 21:00:24.928,1.29049,1.29076
2013.03.17 21:00:25.048,1.29049,1.29072
2013.03.17 21:00:25.108,1.29045,1.29078
2013.03.17 21:00:25.168,1.2905,1.29075
2013.03.17 21:00:25.228,1.29049,1.29078
2013.03.17 21:00:25.288,1.29053,1.29076
2013.03.17 21:00:25.738,1.29058,1.29074
2013.03.17 21:00:26.283,1.29059,1.29076
2013.03.17 21:00:26.588,1.2906,1.29077
2013.03.17 21:00:26.999,1.29058,1.2908
2013.03.17 21:00:27.278,1.29064,1.29088
2013.03.17 21:00:27.338,1.29066,1.29089
2013.03.17 21:00:27.680,1.29064,1.29089
2013.03.17 21:00:28.321,1.29062,1.29088
2013.03.17 21:00:28.839,1.29063,1.29088
2013.03.17 21:00:30.470,1.29062,1.29091
2013.03.17 21:00:30.618,1.29062,1.29093
2013.03.17 21:00:30.678,1.29062,1.29095
2013.03.17 21:00:31.310,1.29046,1.29099
2013.03.17 21:00:31.409,1.29057,1.29091
2013.03.17 21:00:31.478,1.2906,1.291
