Time,Bid,Ask
2013.03.31 21:00:02.613,1.28029,1.28079
2013.03.31 21:00:07.439,1.28031,1.28081
2013.03.31 21:00:07.793,1.28029,1.28079
2013.03.31 21:00:08.226,1.28031,1.28081
2013.03.31 21:00:10.836,1.28029,1.28083
2013.03.31 21:00:11.166,1.28033,1.28083
2013.03.31 21:00:11.496,1.28031,1.28085
2013.03.31 21:00:12.298,1.28033,1.28087
2013.03.31 21:00:32.346,1.28034,1.28084
2013.03.31 21:00:37.146,1.28051,1.28069
2013.03.31 21:01:15.338,1.28055,1.28067
2013.03.31 21:01:15.726,1.28055,1.28068
2013.03.31 21:01:18.666,1.28054,1.28071
2013.03.31 21:01:23.566,1.2806,1.28067
2013.03.31 21:01:36.747,1.28058,1.2807
2013.03.31 21:01:36.866,1.28058,1.28072
2013.03.31 21:01:36.986,1.28059,1.28073
2013.03.31 21:01:37.226,1.28058,1.28075
2013.03.31 21:01:37.728,1.28059,1.28076
2013.03.31 21:01:42.558,1.28062,1.28074
2013.03.31 21:02:15.637,1.28065,1.28073
2013.03.31 21:02:16.780,1.28061,1.28078
2013.03.31 21:02:42.867,1.28067,1.28074
2013.03.31 21:02:45.847,1.28065,1.28077
2013.03.31 21:02:48.918,1.28068,1.28076
2013.03.31 21:02:50.870,1.28069,1.28077
2013.03.31 21:03:10.338,1.2807,1.28078
2013.03.31 21:04:05.707,1.28068,1.28082
2013.03.31 21:04:23.449,1.2807,1.28082
2013.03.31 21:04:27.948,1.28071,1.28083
2013.03.31 21:04:31.367,1.28071,1.28085
2013.03.31 21:04:31.628,1.28075,1.28082
2013.03.31 21:04:52.277,1.28068,1.2809
2013.03.31 21:04:52.397,1.28064,1.28096
2013.03.31 21:04:52.458,1.28067,1.28095
2013.03.31 21:04:53.248,1.28077,1.28087
2013.03.31 21:05:21.407,1.28061,1.28105
2013.03.31 21:05:21.467,1.28062,1.28106
2013.03.31 21:05:21.857,1.28071,1.28099
2013.03.31 21:05:21.977,1.28071,1.28103
2013.03.31 21:05:22.037,1.2808,1.28095
2013.03.31 21:05:30.597,1.28079,1.28098
2013.03.31 21:05:30.657,1.28076,1.28102
2013.03.31 21:05:30.777,1.28071,1.28108
2013.03.31 21:05:31.708,1.28082,1.28098
2013.03.31 21:05:32.521,1.28083,1.28098
2013.03.31 21:05:35.419,1.28084,1.28098
2013.03.31 21:05:47.977,1.28083,1.281
2013.03.31 21:05:48.037,1.28082,1.28105
2013.03.31 21:05:48.097,1.28082,1.28103
2013.03.31 21:05:57.687,1.28084,1.281
2013.03.31 21:06:26.067,1.28086,1.281
2013.03.31 21:06:34.867,1.28088,1.28104
2013.03.31 21:06:44.550,1.28089,1.28104
2013.03.31 21:07:50.287,1.28077,1.28115
2013.03.31 21:07:50.644,1.28076,1.28114
2013.03.31 21:08:10.327,1.28074,1.28112
