Time,Bid,Ask
2013.03.24 21:00:07.261,1.29475,1.29478
2013.03.24 21:00:09.391,1.29475,1.29481
2013.03.24 21:00:10.652,1.29473,1.2948
2013.03.24 21:00:11.829,1.29474,1.29482
2013.03.24 21:00:12.651,1.29475,1.29477
2013.03.24 21:00:14.531,1.29479,1.29483
2013.03.24 21:00:16.253,1.29476,1.29481
2013.03.24 21:00:17.102,1.29482,1.29489
2013.03.24 21:00:20.021,1.29483,1.2949
2013.03.24 21:00:20.992,1.29484,1.29491
2013.03.24 21:00:21.370,1.29487,1.2949
2013.03.24 21:00:21.862,1.29486,1.29492
2013.03.24 21:00:23.712,1.29484,1.29497
2013.03.24 21:00:24.207,1.29485,1.29499
2013.03.24 21:00:32.094,1.29489,1.29497
2013.03.24 21:00:48.204,1.2949,1.29498
2013.03.24 21:01:20.991,1.29491,1.295
2013.03.24 21:01:21.552,1.29493,1.295
2013.03.24 21:01:21.671,1.29496,1.29504
2013.03.24 21:01:26.611,1.29497,1.29509
2013.03.24 21:01:26.671,1.29498,1.29504
2013.03.24 21:01:27.230,1.29498,1.29503
2013.03.24 21:01:27.962,1.29489,1.29498
2013.03.24 21:01:29.612,1.2949,1.29496
2013.03.24 21:01:30.591,1.29493,1.29499
2013.03.24 21:01:30.954,1.29491,1.29497
2013.03.24 21:01:31.171,1.29497,1.29505
2013.03.24 21:01:32.048,1.29493,1.29497
2013.03.24 21:01:32.562,1.29494,1.29499
2013.03.24 21:01:32.701,1.29497,1.29505
2013.03.24 21:01:33.253,1.29495,1.29509
2013.03.24 21:01:33.582,1.29499,1.29509
2013.03.24 21:01:33.702,1.29494,1.29509
2013.03.24 21:01:34.071,1.29491,1.29509
2013.03.24 21:01:35.115,1.29487,1.29501
2013.03.24 21:01:37.875,1.29493,1.29508
2013.03.24 21:01:41.532,1.29491,1.29509
2013.03.24 21:01:43.302,1.29487,1.29501
2013.03.24 21:01:46.073,1.29488,1.29501
2013.03.24 21:01:46.868,1.29487,1.29501
2013.03.24 21:01:48.863,1.29488,1.29502
2013.03.24 21:02:05.780,1.29489,1.29503
2013.03.24 21:02:07.138,1.29498,1.29503
2013.03.24 21:02:07.212,1.29502,1.29509
2013.03.24 21:02:07.272,1.29502,1.29516
2013.03.24 21:02:07.652,1.29502,1.29512
2013.03.24 21:02:07.772,1.29494,1.29512
2013.03.24 21:02:07.933,1.29494,1.29503
2013.03.24 21:02:08.062,1.29489,1.29503
2013.03.24 21:02:12.532,1.29492,1.29506
2013.03.24 21:02:12.982,1.2949,1.29504
2013.03.24 21:02:15.012,1.29489,1.29503
2013.03.24 21:02:15.302,1.29484,1.29499
2013.03.24 21:02:16.904,1.29481,1.29501
2013.03.24 21:02:16.973,1.29482,1.29502
2013.03.24 21:02:17.302,1.29483,1.29503
2013.03.24 21:02:17.665,1.29488,1.29499
2013.03.24 21:02:17.732,1.29484,1.29499
2013.03.24 21:02:23.742,1.29482,1.29497
2013.03.24 21:02:24.272,1.29481,1.29494
2013.03.24 21:02:24.353,1.29482,1.29496
2013.03.24 21:02:24.892,1.29482,1.29495
2013.03.24 21:02:24.952,1.29479,1.29497
2013.03.24 21:02:25.731,1.29481,1.2949
2013.03.24 21:02:25.922,1.29481,1.29495
2013.03.24 21:02:26.362,1.2948,1.29488
2013.03.24 21:02:26.422,1.29471,1.29488
2013.03.24 21:02:30.053,1.29475,1.29487
2013.03.24 21:02:30.352,1.29475,1.29489
2013.03.24 21:02:30.552,1.29482,1.29487
2013.03.24 21:02:30.612,1.29476,1.29487
2013.03.24 21:02:30.882,1.29471,1.29487
2013.03.24 21:02:48.832,1.29477,1.29483
2013.03.24 21:02:48.952,1.29474,1.29488
2013.03.24 21:02:49.252,1.29477,1.29488
2013.03.24 21:02:49.492,1.2947,1.29488
2013.03.24 21:02:49.883,1.29482,1.2949
2013.03.24 21:02:50.002,1.29483,1.29495
2013.03.24 21:02:50.062,1.29483,1.29497
2013.03.24 21:02:50.535,1.29481,1.295
2013.03.24 21:02:50.602,1.29474,1.29504
2013.03.24 21:02:50.782,1.29486,1.2949
2013.03.24 21:02:51.322,1.29482,1.29492
2013.03.24 21:02:51.953,1.29472,1.295
2013.03.24 21:03:01.302,1.2948,1.29489
2013.03.24 21:03:02.122,1.29465,1.29502
2013.03.24 21:03:07.872,1.29463,1.29502
2013.03.24 21:03:10.862,1.29462,1.295
2013.03.24 21:03:15.072,1.29466,1.29494
2013.03.24 21:03:30.733,1.29465,1.29493
2013.03.24 21:03:37.772,1.2947,1.29486
2013.03.24 21:03:38.082,1.29471,1.29483
2013.03.24 21:03:38.442,1.29474,1.29478
2013.03.24 21:03:38.822,1.29471,1.2948
2013.03.24 21:03:38.943,1.2947,1.29478
2013.03.24 21:03:45.203,1.29469,1.29476
2013.03.24 21:03:45.561,1.29469,1.29473
2013.03.24 21:03:46.132,1.29468,1.29472
2013.03.24 21:03:48.353,1.29465,1.29475
2013.03.24 21:03:48.412,1.29472,1.2948
2013.03.24 21:03:48.743,1.29467,1.29475
2013.03.24 21:03:49.363,1.29463,1.2947
2013.03.24 21:03:50.004,1.29461,1.2947
2013.03.24 21:03:50.132,1.29452,1.29476
2013.03.24 21:03:50.312,1.29449,1.29477
2013.03.24 21:03:51.376,1.29448,1.29476
2013.03.24 21:03:53.112,1.29448,1.29464
2013.03.24 21:03:53.639,1.29459,1.29467
2013.03.24 21:04:05.672,1.29461,1.29476
2013.03.24 21:04:24.584,1.29456,1.29486
2013.03.24 21:04:29.263,1.29456,1.29486
2013.03.24 21:04:41.083,1.29456,1.29486
2013.03.24 21:04:59.039,1.29457,1.29487
2013.03.24 21:05:08.363,1.29454,1.29484
2013.03.24 21:05:10.673,1.29464,1.29484
2013.03.24 21:05:25.334,1.29457,1.29487
2013.03.24 21:05:40.208,1.29457,1.29487
2013.03.24 21:05:50.163,1.29458,1.29488
2013.03.24 21:06:11.492,1.29468,1.2948
2013.03.24 21:06:11.613,1.29468,1.29483
2013.03.24 21:06:12.912,1.29466,1.29496
2013.03.24 21:06:18.943,1.29476,1.29496
2013.03.24 21:07:07.772,1.29474,1.2949
2013.03.24 21:07:19.663,1.29476,1.2949
2013.03.24 21:07:20.362,1.29476,1.29491
2013.03.24 21:07:20.422,1.29476,1.29489
2013.03.24 21:07:27.284,1.29479,1.29488
2013.03.24 21:07:27.344,1.29477,1.29493
2013.03.24 21:07:32.002,1.29479,1.29493
2013.03.24 21:07:36.342,1.2948,1.29493
2013.03.24 21:07:40.845,1.29481,1.29494
2013.03.24 21:07:44.222,1.29482,1.29495
2013.03.24 21:07:44.403,1.29483,1.29497
2013.03.24 21:07:45.654,1.29489,1.29493
2013.03.24 21:07:48.794,1.29489,1.29496
2013.03.24 21:07:48.853,1.29489,1.29499
2013.03.24 21:07:49.450,1.29488,1.29502
2013.03.24 21:07:54.602,1.29478,1.29515
2013.03.24 21:07:54.662,1.29479,1.29516
2013.03.24 21:07:55.004,1.29492,1.29505
2013.03.24 21:07:59.193,1.29493,1.29506
2013.03.24 21:08:09.113,1.29498,1.29503
2013.03.24 21:08:16.832,1.29504,1.29508
2013.03.24 21:08:27.453,1.29506,1.29519
2013.03.24 21:08:49.233,1.29506,1.29519
2013.03.24 21:08:55.394,1.29493,1.2953
2013.03.24 21:09:16.820,1.2949,1.2952
2013.03.24 21:09:28.732,1.29508,1.29515
2013.03.24 21:09:36.592,1.29504,1.29521
2013.03.24 21:09:37.073,1.29493,1.29534
2013.03.24 21:09:37.133,1.29505,1.29524
2013.03.24 21:09:41.423,1.29512,1.2952
2013.03.24 21:09:41.782,1.29519,1.29524
2013.03.24 21:09:50.252,1.29519,1.29532
2013.03.24 21:09:58.572,1.29519,1.29532
2013.03.24 21:09:59.233,1.2952,1.29532
2013.03.24 21:10:13.753,1.29519,1.29532
2013.03.24 21:10:31.683,1.29519,1.29532
2013.03.24 21:11:03.072,1.29518,1.29523
2013.03.24 21:11:06.273,1.29514,1.29519
2013.03.24 21:11:17.994,1.29515,1.29526
2013.03.24 21:11:18.233,1.29516,1.29526
2013.03.24 21:11:18.293,1.29515,1.29526
2013.03.24 21:12:07.464,1.29517,1.2953
2013.03.24 21:12:35.544,1.29519,1.29533
2013.03.24 21:12:40.155,1.29526,1.29534
2013.03.24 21:12:50.194,1.29527,1.29539
