Correlation table - 50 periods
ALX fradiani libs generated
Mon, 02 02 2010
pair1,pair2,15min,30min,Hourly
NZDUSD,EURNZD,-0.99,-0.96,-0.76
NZDUSD,AUDUSD,0.99,0.98,0.8
NZDUSD,GBPUSD,0.88,0.4,0.29
NZDUSD,NZDCAD,0.81,0.88,0.8
NZDUSD,NZDCHF,0.97,0.96,0.5
NZDUSD,AUDCAD,0.82,0.72,0.41
NZDUSD,EURJPY,0.92,0.89,0.82
NZDUSD,EURUSD,0.64,0.74,0.62
NZDUSD,CHFJPY,0.93,0.9,0.81
NZDUSD,CADJPY,0.95,0.97,0.79
NZDUSD,GBPCHF,0.72,-0.22,-0.08
NZDUSD,GBPCAD,-0.87,-0.84,-0.15
NZDUSD,GBPAUD,-0.95,-0.95,-0.64
NZDUSD,EURGBP,-0.88,0.18,-0.03
NZDUSD,USDCHF,-0.65,-0.77,-0.52
NZDUSD,EURCAD,-0.96,-0.85,-0.4
NZDUSD,USDCAD,-0.96,-0.98,-0.94
NZDUSD,CADCHF,0.94,0.87,0.18
NZDUSD,GBPJPY,0.95,0.91,0.66
NZDUSD,EURCHF,-0.49,-0.17,-0.23
NZDUSD,EURAUD,-0.99,-0.9,-0.76
NZDUSD,USDJPY,0.8,0.88,0.5
NZDUSD,GBPNZD,-0.96,-0.92,-0.36
NZDUSD,AUDJPY,0.98,0.98,0.94
NZDUSD,AUDCHF,0.98,0.91,0.78
CADCHF,NZDJPY,0.97,0.84,0.47
CADCHF,AUDNZD,0.0,-0.27,-0.81
CADCHF,EURNZD,-0.95,-0.95,-0.7
CADCHF,AUDUSD,0.91,0.87,-0.35
CADCHF,GBPUSD,0.79,0.59,-0.74
CADCHF,NZDCAD,0.68,0.67,-0.09
CADCHF,NZDCHF,0.96,0.95,0.91
CADCHF,AUDCAD,0.65,0.56,-0.72
CADCHF,EURJPY,0.95,0.64,0.2
CADCHF,EURUSD,0.49,0.37,-0.57
CADCHF,CHFJPY,0.94,0.67,-0.12
CADCHF,CADJPY,0.98,0.86,0.57
CADCHF,GBPCHF,0.76,0.15,-0.48
CADCHF,GBPCAD,-0.91,-0.65,-0.87
CADCHF,GBPAUD,-0.89,-0.73,-0.7
CADCHF,EURGBP,-0.86,-0.19,0.64
CADCHF,USDCHF,-0.48,-0.42,0.72
CADCHF,EURCAD,-0.98,-0.98,-0.88
CADCHF,USDCAD,-0.94,-0.9,-0.31
CADCHF,NZDUSD,0.94,0.87,0.18
CADCHF,GBPJPY,0.97,0.88,-0.42
CADCHF,EURCHF,-0.34,-0.22,0.73
CADCHF,EURAUD,-0.94,-0.93,0.1
CADCHF,USDJPY,0.88,0.73,0.68
CADCHF,GBPNZD,-0.92,-0.71,-0.84
CADCHF,AUDJPY,0.96,0.85,0.07
CADCHF,AUDCHF,0.95,0.94,0.35
GBPJPY,NZDJPY,0.98,0.92,0.43
GBPJPY,AUDNZD,0.01,-0.15,0.7
GBPJPY,EURNZD,-0.96,-0.92,-0.23
GBPJPY,AUDUSD,0.92,0.93,0.92
GBPJPY,GBPUSD,0.81,0.61,0.83
GBPJPY,NZDCAD,0.73,0.81,0.53
GBPJPY,NZDCHF,0.96,0.93,-0.18
GBPJPY,AUDCAD,0.71,0.77,0.82
GBPJPY,EURJPY,0.98,0.8,0.51
GBPJPY,EURUSD,0.49,0.55,0.73
GBPJPY,CHFJPY,0.98,0.82,0.76
GBPJPY,CADJPY,0.99,0.92,0.34
GBPJPY,GBPCHF,0.78,0.06,0.52
GBPJPY,GBPCAD,-0.86,-0.63,0.54
GBPJPY,GBPAUD,-0.88,-0.79,0.06
GBPJPY,EURGBP,-0.89,-0.08,-0.68
GBPJPY,USDCHF,-0.5,-0.57,-0.84
GBPJPY,EURCAD,-0.96,-0.86,0.06
GBPJPY,USDCAD,-0.92,-0.89,-0.6
GBPJPY,NZDUSD,0.95,0.91,0.66
GBPJPY,CADCHF,0.97,0.88,-0.42
GBPJPY,EURCHF,-0.36,-0.1,-0.76
GBPJPY,EURAUD,-0.94,-0.92,-0.85
GBPJPY,USDJPY,0.92,0.87,0.04
GBPJPY,GBPNZD,-0.91,-0.74,0.4
GBPJPY,AUDJPY,0.98,0.94,0.79
GBPJPY,AUDCHF,0.95,0.94,0.56
EURCHF,NZDJPY,-0.4,-0.07,0.01
EURCHF,AUDNZD,-0.5,-0.17,-0.79
EURCHF,EURNZD,0.45,0.25,-0.16
EURCHF,AUDUSD,-0.55,-0.21,-0.65
EURCHF,GBPUSD,-0.48,-0.32,-0.82
EURCHF,NZDCAD,-0.21,0.03,-0.21
EURCHF,NZDCHF,-0.33,-0.13,0.61
EURCHF,AUDCAD,-0.41,-0.05,-0.76
EURCHF,EURJPY,-0.34,0.09,-0.1
EURCHF,EURUSD,-0.51,0.08,-0.56
EURCHF,CHFJPY,-0.47,-0.01,-0.49
EURCHF,CADJPY,-0.43,-0.1,0.08
EURCHF,GBPCHF,0.07,-0.12,-0.5
EURCHF,GBPCAD,0.54,0.09,-0.72
EURCHF,GBPAUD,0.55,0.09,-0.41
EURCHF,EURGBP,0.37,0.29,0.76
EURCHF,USDCHF,0.79,0.17,0.83
EURCHF,EURCAD,0.51,0.38,-0.32
EURCHF,USDCAD,0.56,0.25,0.2
EURCHF,NZDUSD,-0.49,-0.16,-0.23
EURCHF,CADCHF,-0.34,-0.21,0.73
EURCHF,GBPJPY,-0.36,-0.1,-0.76
EURCHF,EURAUD,0.52,0.3,0.57
EURCHF,USDJPY,-0.2,0.09,0.3
EURCHF,GBPNZD,0.46,0.06,-0.65
EURCHF,AUDJPY,-0.45,-0.1,-0.38
EURCHF,AUDCHF,-0.42,-0.19,-0.06
EURAUD,NZDJPY,-0.97,-0.86,-0.54
EURAUD,AUDNZD,-0.22,0.06,-0.54
EURAUD,EURNZD,0.98,0.97,0.55
EURAUD,AUDUSD,-0.99,-0.94,-0.9
EURAUD,GBPUSD,-0.83,-0.69,-0.67
EURAUD,NZDCAD,-0.8,-0.79,-0.62
EURAUD,NZDCHF,-0.96,-0.95,-0.17
EURAUD,AUDCAD,-0.86,-0.79,-0.72
EURAUD,EURJPY,-0.92,-0.66,-0.43
EURAUD,EURUSD,-0.58,-0.43,-0.51
EURAUD,CHFJPY,-0.94,-0.69,-0.61
EURAUD,CADJPY,-0.95,-0.85,-0.44
EURAUD,GBPCHF,-0.69,-0.17,-0.49
EURAUD,GBPCAD,0.89,0.59,-0.33
EURAUD,GBPAUD,0.98,0.77,0.18
EURAUD,EURGBP,0.86,0.22,0.59
EURAUD,USDCHF,0.62,0.5,0.6
EURAUD,EURCAD,0.96,0.94,0.26
EURAUD,USDCAD,0.95,0.9,0.7
EURAUD,NZDUSD,-0.99,-0.9,-0.76
EURAUD,CADCHF,-0.94,-0.93,0.1
EURAUD,GBPJPY,-0.94,-0.92,-0.85
EURAUD,EURCHF,0.52,0.3,0.57
EURAUD,USDJPY,-0.82,-0.72,-0.12
EURAUD,GBPNZD,0.96,0.7,-0.16
EURAUD,AUDJPY,-0.98,-0.89,-0.82
EURAUD,AUDCHF,-0.99,-0.99,-0.85
USDJPY,NZDJPY,0.92,0.95,0.84
USDJPY,AUDNZD,-0.14,-0.45,-0.6
USDJPY,EURNZD,-0.86,-0.8,-0.73
USDJPY,AUDUSD,0.74,0.84,0.02
USDJPY,GBPUSD,0.52,0.13,-0.51
USDJPY,NZDCAD,0.68,0.8,0.23
USDJPY,NZDCHF,0.88,0.84,0.74
USDJPY,AUDCAD,0.58,0.58,-0.4
USDJPY,EURJPY,0.96,0.97,0.76
USDJPY,EURUSD,0.14,0.74,-0.12
USDJPY,CHFJPY,0.93,0.96,0.55
USDJPY,CADJPY,0.92,0.95,0.91
USDJPY,GBPCHF,0.64,-0.38,-0.64
USDJPY,GBPCAD,-0.83,-0.85,-0.77
USDJPY,GBPAUD,-0.8,-0.91,-0.84
USDJPY,EURGBP,-0.68,0.38,0.6
USDJPY,USDCHF,-0.18,-0.71,0.22
USDJPY,EURCAD,-0.85,-0.68,-0.72
USDJPY,USDCAD,-0.74,-0.85,-0.58
USDJPY,NZDUSD,0.8,0.88,0.5
USDJPY,CADCHF,0.88,0.73,0.68
USDJPY,GBPJPY,0.92,0.87,0.04
USDJPY,EURCHF,-0.2,0.09,0.3
USDJPY,EURAUD,-0.82,-0.72,-0.12
USDJPY,GBPNZD,-0.87,-0.9,-0.82
USDJPY,AUDJPY,0.89,0.94,0.55
USDJPY,AUDCHF,0.84,0.76,0.36
GBPNZD,NZDJPY,-0.97,-0.94,-0.66
GBPNZD,AUDNZD,-0.04,0.58,0.86
GBPNZD,EURNZD,0.98,0.82,0.69
GBPNZD,AUDUSD,-0.93,-0.86,0.25
GBPNZD,GBPUSD,-0.7,-0.02,0.79
GBPNZD,NZDCAD,-0.84,-0.81,-0.18
GBPNZD,NZDCHF,-0.97,-0.83,-0.87
GBPNZD,AUDCAD,-0.81,-0.53,0.65
GBPNZD,EURJPY,-0.93,-0.94,-0.5
GBPNZD,EURUSD,-0.45,-0.84,0.28
GBPNZD,CHFJPY,-0.94,-0.95,-0.18
GBPNZD,CADJPY,-0.94,-0.93,-0.7
GBPNZD,GBPCHF,-0.6,0.55,0.82
GBPNZD,GBPCAD,0.91,0.97,0.97
GBPNZD,GBPAUD,0.97,0.98,0.91
GBPNZD,EURGBP,0.74,-0.52,-0.87
GBPNZD,USDCHF,0.5,0.84,-0.49
GBPNZD,EURCAD,0.92,0.67,0.7
GBPNZD,USDCAD,0.89,0.89,0.4
GBPNZD,NZDUSD,-0.96,-0.92,-0.36
GBPNZD,CADCHF,-0.92,-0.71,-0.84
GBPNZD,GBPJPY,-0.91,-0.74,0.4
GBPNZD,EURCHF,0.46,0.06,-0.65
GBPNZD,EURAUD,0.96,0.7,-0.16
GBPNZD,USDJPY,-0.87,-0.9,-0.82
GBPNZD,AUDJPY,-0.97,-0.91,-0.23
GBPNZD,AUDCHF,-0.96,-0.72,-0.23
AUDJPY,NZDJPY,0.99,0.99,0.88
AUDJPY,AUDNZD,0.13,-0.31,0.23
AUDJPY,EURNZD,-0.98,-0.93,-0.67
AUDJPY,AUDUSD,0.96,0.97,0.85
AUDJPY,GBPUSD,0.8,0.38,0.38
AUDJPY,NZDCAD,0.78,0.87,0.71
AUDJPY,NZDCHF,0.97,0.94,0.36
AUDJPY,AUDCAD,0.8,0.74,0.5
AUDJPY,EURJPY,0.97,0.93,0.87
AUDJPY,EURUSD,0.52,0.75,0.63
AUDJPY,CHFJPY,0.98,0.94,0.91
AUDJPY,CADJPY,0.99,0.99,0.8
AUDJPY,GBPCHF,0.7,-0.23,0.0
AUDJPY,GBPCAD,-0.91,-0.83,-0.05
AUDJPY,GBPAUD,-0.96,-0.95,-0.56
AUDJPY,EURGBP,-0.85,0.21,-0.14
AUDJPY,USDCHF,-0.55,-0.76,-0.59
AUDJPY,EURCAD,-0.97,-0.82,-0.36
AUDJPY,USDCAD,-0.94,-0.96,-0.9
AUDJPY,NZDUSD,0.98,0.98,0.94
AUDJPY,CADCHF,0.96,0.85,0.07
AUDJPY,GBPJPY,0.98,0.94,0.79
AUDJPY,EURCHF,-0.45,-0.1,-0.38
AUDJPY,EURAUD,-0.98,-0.89,-0.82
AUDJPY,USDJPY,0.89,0.94,0.55
AUDJPY,GBPNZD,-0.97,-0.91,-0.23
AUDJPY,AUDCHF,0.98,0.91,0.76
AUDCHF,NZDJPY,0.97,0.87,0.67
AUDCHF,AUDNZD,0.16,-0.08,0.15
AUDCHF,EURNZD,-0.98,-0.96,-0.78
AUDCHF,AUDUSD,0.98,0.95,0.69
AUDCHF,GBPUSD,0.82,0.67,0.28
AUDCHF,NZDCAD,0.82,0.82,0.62
AUDCHF,NZDCHF,0.98,0.97,0.59
AUDCHF,AUDCAD,0.86,0.81,0.39
AUDCHF,EURJPY,0.93,0.69,0.47
AUDCHF,EURUSD,0.55,0.45,0.26
AUDCHF,CHFJPY,0.93,0.71,0.44
AUDCHF,CADJPY,0.95,0.86,0.6
AUDCHF,GBPCHF,0.74,0.16,0.27
AUDCHF,GBPCAD,-0.87,-0.59,-0.07
AUDCHF,GBPAUD,-0.97,-0.78,-0.49
AUDCHF,EURGBP,-0.86,-0.19,-0.22
AUDCHF,USDCHF,-0.55,-0.49,-0.2
AUDCHF,EURCAD,-0.95,-0.92,-0.53
AUDCHF,USDCAD,-0.93,-0.89,-0.74
AUDCHF,NZDUSD,0.98,0.91,0.78
AUDCHF,CADCHF,0.95,0.94,0.35
AUDCHF,GBPJPY,0.95,0.94,0.56
AUDCHF,EURCHF,-0.42,-0.19,-0.06
AUDCHF,EURAUD,-0.99,-0.99,-0.85
AUDCHF,USDJPY,0.84,0.76,0.36
AUDCHF,GBPNZD,-0.96,-0.72,-0.23
AUDCHF,AUDJPY,0.98,0.91,0.76
